Amazon_Prospecting_MediaCost,BingSearch_PaidSearchBrand_MediaCost,BingSearch_PaidSearchNonBrand_MediaCost,BingSearch_ShoppingAdsBrandNonBrand_MediaCost,CTV_Awareness_MediaCost,Criteo_Prospecting_MediaCost,Criteo_Retargeting_MediaCost,DV360_Prospecting_MediaCost,DV360_Retargeting_MediaCost,Facebook_MediaCost,GoogleSearch_NativeDiscoveryAds_MediaCost,GoogleSearch_PaidSearchBrand_MediaCost,GoogleSearch_PaidSearchNonBrand_MediaCost,GoogleSearch_ShoppingAdsBrandNonBrand_MediaCost,Influential_Awareness_MediaCost,Influential_Conversions_MediaCost,LinearTV_Awareness_MediaCost,Pinterest_Prospecting_MediaCost,Pinterest_Retargeting_MediaCost,Radio_Awareness_MediaCost,Snapchat_AddtoCartTeens_MediaCost,Snapchat_AddtoCartYoungAdults_MediaCost,Snapchat_Awareness_MediaCost,Snapchat_Conversions_MediaCost,Snapchat_ConversionsTeens_MediaCost,Snapchat_ConversionsYoungAdults_MediaCost,Snapchat_VideoViewsTeens_MediaCost,Snapchat_VideoViewsYoungAdults_MediaCost,TheTradeDesk_Prospecting_MediaCost,TheTradeDesk_Retargeting_MediaCost,Tinder_Prospecting_MediaCost,Twitch_Prospecting_MediaCost,YouTube_Prospecting_MediaCost,YouTube_Retargeting_MediaCost,Amazon_Prospecting_Impressions,BingSearch_PaidSearchBrand_Impressions,BingSearch_PaidSearchNonBrand_Impressions,BingSearch_ShoppingAdsBrandNonBrand_Impressions,CTV_Awareness_Impressions,Criteo_Prospecting_Impressions,Criteo_Retargeting_Impressions,DV360_Prospecting_Impressions,DV360_Retargeting_Impressions,Facebook_Impressions,GoogleSearch_NativeDiscoveryAds_Impressions,GoogleSearch_PaidSearchBrand_Impressions,GoogleSearch_PaidSearchNonBrand_Impressions,GoogleSearch_ShoppingAdsBrandNonBrand_Impressions,Influential_Awareness_Impressions,Influential_Conversions_Impressions,LinearTV_Awareness_Impressions,Pinterest_Prospecting_Impressions,Pinterest_Retargeting_Impressions,Radio_Awareness_Impressions,Snapchat_AddtoCartTeens_Impressions,Snapchat_AddtoCartYoungAdults_Impressions,Snapchat_Awareness_Impressions,Snapchat_Conversions_Impressions,Snapchat_ConversionsTeens_Impressions,Snapchat_ConversionsYoungAdults_Impressions,Snapchat_VideoViewsTeens_Impressions,Snapchat_VideoViewsYoungAdults_Impressions,TheTradeDesk_Prospecting_Impressions,TheTradeDesk_Retargeting_Impressions,Tinder_Prospecting_Impressions,Twitch_Prospecting_Impressions,YouTube_Prospecting_Impressions,YouTube_Retargeting_Impressions,Orders,holiday
0.0,617.6000000000001,50.19,154.5,0.0,0.0,0.0,0.0,0.0,21628.340002,0.0,6720.160000000002,878.71,5103.127558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.887639,481.75397999999996,0.0,4996.0,1741.0,8808.0,0.0,0.0,0.0,0.0,0.0,1423290.0,0.0,14336.0,11088.0,557533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120422.0,26872.0,901,0
0.0,515.2600000000002,51.65,144.71,0.0,0.0,0.0,0.0,0.0,20602.819999000003,795.97,5908.779999999999,749.2099999999999,4551.912136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.539693,482.218147,0.0,4431.0,2777.0,7441.0,0.0,0.0,0.0,0.0,0.0,1365803.0,235287.0,12428.0,9917.0,508023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74543.0,28409.0,812,0
0.0,419.14000000000004,48.620000000000005,122.83,0.0,0.0,0.0,0.0,0.0,20914.159994,0.0,5510.51,747.9799999999999,4879.122144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.435907,0.0,2725.0,2339.0,5950.0,0.0,0.0,0.0,0.0,0.0,1557658.0,0.0,11375.0,9800.0,538096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34772.0,769,0
0.0,382.6699999999999,51.919999999999995,102.85,0.0,0.0,0.0,0.0,0.0,20502.440006,0.0,5660.489999999997,873.25,5739.022392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.529476,0.0,2870.0,2435.0,6677.0,0.0,0.0,0.0,0.0,0.0,1567260.0,0.0,12787.0,12301.0,584275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49756.0,862,0
0.0,450.79,45.83,142.6,0.0,0.0,0.0,0.0,0.0,23113.849993999997,0.0,5788.29,727.24,5279.475036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.598598,0.0,3685.0,1878.0,8650.0,0.0,0.0,0.0,0.0,0.0,1262742.0,0.0,13085.0,11331.0,557214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51303.0,776,0
0.0,506.3,33.6,122.47,0.0,0.0,0.0,0.0,0.0,16812.379997999993,0.0,5892.049999999998,1033.71,5043.408478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.232636,0.0,4119.0,1590.0,8372.0,0.0,0.0,0.0,0.0,0.0,1117592.0,0.0,12875.0,12775.0,561618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43084.0,773,0
0.0,367.4100000000001,47.28999999999999,86.43,0.0,0.0,0.0,0.0,0.0,34326.620021999996,0.0,6113.680000000001,1360.54,5016.243343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.96157200000005,0.0,3925.0,2540.0,8289.0,0.0,0.0,0.0,0.0,0.0,1753083.0,0.0,12846.0,13052.0,544789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36543.0,756,0
0.0,430.50000000000006,46.169999999999995,142.6,0.0,0.0,0.0,0.0,0.0,20028.049984,0.0,5992.550000000003,893.7299999999999,4941.477552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.541312,0.0,4793.0,2563.0,8441.0,0.0,0.0,0.0,0.0,0.0,1245638.0,0.0,12274.0,10742.0,564395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47578.0,750,0
0.0,354.74000000000007,37.37,140.17,0.0,0.0,0.0,0.0,0.0,19180.319996,0.0,5241.110000000001,947.3399999999999,4924.24254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.743678,0.0,3537.0,2150.0,6821.0,0.0,0.0,0.0,0.0,0.0,1475193.0,0.0,11335.0,9989.0,584482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54008.0,744,0
0.0,271.04999999999995,45.900000000000006,82.22,0.0,0.0,0.0,0.0,0.0,17645.199995,0.0,4966.82,1011.2,4785.307602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.99643999999995,0.0,3987.0,2581.0,7096.0,0.0,0.0,0.0,0.0,0.0,1401627.0,0.0,10557.0,8981.0,549223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56901.0,674,0
0.0,289.96999999999997,42.089999999999996,88.36,0.0,0.0,0.0,0.0,0.0,17330.170000000002,0.0,4877.609999999999,950.49,5474.012732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.31301700000006,0.0,4249.0,1979.0,7747.0,0.0,0.0,0.0,0.0,0.0,1540153.0,0.0,10320.0,9619.0,604263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55632.0,727,0
0.0,425.27000000000015,44.08,135.26,0.0,0.0,0.0,0.0,0.0,16955.299989,0.0,6172.479999999999,1100.4799999999998,5916.825273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.6075010000001,0.0,5624.0,2603.0,8164.0,0.0,0.0,0.0,0.0,0.0,1411306.0,0.0,13623.0,10573.0,652253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56020.0,777,0
0.0,467.78999999999996,23.59,108.82,0.0,0.0,0.0,0.0,0.0,17521.3,0.0,5990.139999999999,933.0,5523.814878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.574058,0.0,4925.0,2432.0,7473.0,0.0,0.0,0.0,0.0,0.0,1454573.0,0.0,13298.0,10157.0,657756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58227.0,768,0
